U+1200C	𒀌
U+1200D	𒀍
U+1200E	𒀎
U+1200F	𒀏
U+1201A	𒀚
U+1201B	𒀛
U+1201C	𒀜
U+1201D	𒀝
U+1201E	𒀞
U+1201F	𒀟
U+1202A	𒀪
U+1202B	𒀫
U+1202C	𒀬
U+1202D	𒀭
U+1202E	𒀮
U+1202F	𒀯
U+1203A	𒀺
U+1203B	𒀻	
U+1203C	𒀼
U+1203D	𒀽
U+1203E	𒀾
U+1203F	𒀿
U+1204A	𒁊
U+1204B	𒁋
U+1204C	𒁌
U+1204D	𒁍
U+1204E	𒁎
U+1204F	𒁏
U+1205A	𒁚
U+1205B	𒁛
U+1205C	𒁜
U+1205D	𒁝
U+1205E	𒁞
U+1205F	𒁟
U+1206A	𒁪
U+1206B	𒁫
U+1206C	𒁬
U+1206D	𒁭
U+1206E	𒁮
U+1206F	𒁯
U+1207A	𒁺
U+1207B	𒁻
U+1207C	𒁼
U+1207D	𒁽
U+1207E	𒁾
U+1207F	𒁿
U+1208A	𒂊
U+1208B	𒂋
U+1208C	𒂌
U+1208D	𒂍
U+1208E	𒂎
U+1208F	𒂏
U+1209A	𒂚
U+1209B	𒂛
U+1209C	𒂜
U+1209D	𒂝
U+1209E	𒂞
U+1209F	𒂟
U+1210A	𒄊
U+1210B	𒄋
U+1210C	𒄌
U+1210D	𒄍
U+1210E	𒄎
U+1210F	𒄏
U+1211A	𒄚
U+1211B	𒄛
U+1211C	𒄜
U+1211D	𒄝
U+1211E	𒄞
U+1211F	𒄟
U+1212A	𒄪
U+1212B	𒄫
U+1212C	𒄬
U+1212D	𒄭
U+1212E	𒄮
U+1212F	𒄯
U+1213A	𒄺
U+1213B	𒄻
U+1213C	𒄼
U+1213D	𒄽
U+1213E	𒄾
U+1213F	𒄿
U+1214A	𒅊
U+1214B	𒅋
U+1214C	𒅌
U+1214D	𒅍
U+1214E	𒅎
U+1214F	𒅏
U+1215A	𒅚
U+1215B	𒅛
U+1215C	𒅜
U+1215D	𒅝
U+1215E	𒅞
U+1215F	𒅟
U+1216A	𒅪
U+1216B	𒅫
U+1216C	𒅬
U+1216D	𒅭
U+1216E	𒅮
U+1216F	𒅯
U+1217A	𒅺
U+1217B	𒅻
U+1217C	𒅼
U+1217D	𒅽
U+1217E	𒅾
U+1217F	𒅿
U+1218A	𒆊
U+1218B	𒆋
U+1218C	𒆌
U+1218D	𒆍
U+1218E	𒆎
U+1218F	𒆏
U+1219A	𒆚
U+1219B	𒆛
U+1219C	𒆜
U+1219D	𒆝
U+1219E	𒆞
U+1219F	𒆟
U+1220A	𒈊
U+1220B	𒈋
U+1220C	𒈌
U+1220D	𒈍
U+1220E	𒈎
U+1220F	𒈏
U+1221A	𒈚
U+1221B	𒈛
U+1221C	𒈜
U+1221D	𒈝
U+1221E	𒈞
U+1221F	𒈟
U+1222A	𒈪
U+1222B	𒈫
U+1222C	𒈬
U+1222D	𒈭
U+1222E	𒈮
U+1222F	𒈯
U+1223A	𒈺
U+1223B	𒈻
U+1223C	𒈼
U+1223D	𒈽
U+1223E	𒈾
U+1223F	𒈿
U+1224A	𒉊
U+1224B	𒉋
U+1224C	𒉌
U+1224D	𒉍
U+1224E	𒉎
U+1224F	𒉏
U+1225A	𒉚
U+1225B	𒉛
U+1225C	𒉜
U+1225D	𒉝
U+1225E	𒉞
U+1225F	𒉟
U+1226A	𒉪
U+1226B	𒉫
U+1226C	𒉬
U+1226D	𒉭
U+1226E	𒉮
U+1226F	𒉯
U+1227A	𒉺
U+1227B	𒉻
U+1227C	𒉼
U+1227D	𒉽
U+1227E	𒉾
U+1227F	𒉿
U+1228A	𒊊
U+1228B	𒊋
U+1228C	𒊌
